origin_dist,gene_length,replichore
583243,1526,0
583293,566,1
584300,986,1
584769,2147,0
585291,977,1
586310,809,1
586967,386,0
587100,782,1
587350,1343,0
587656,551,1
588310,635,1
588603,293,1
588686,2075,0
589017,254,1
590331,1259,1
590657,278,1
590931,872,0
591856,971,1
591885,122,0
592015,980,0
592426,311,1
592704,257,1
593060,1106,0
593796,965,1
594186,716,0
594984,1172,1
595271,149,0
595702,395,0
596358,602,0
596457,1433,1
597181,476,1
597438,596,0
597630,293,1
598385,629,1
598514,548,0
599127,539,0
599703,725,0
600419,1934,1
600495,2636,0
601357,848,1
602687,1337,1
603141,530,0
603247,332,1
603684,503,0
603848,196,1
604207,902,0
605353,1343,0
605432,1625,1
606776,308,0
606783,1343,1
607036,1184,0
607866,452,1
608301,1460,0
609381,1487,1
609783,194,0
609976,773,0
610890,830,0
612078,2672,1
612284,143,0
612393,392,0
612643,401,1
612778,911,0
613587,944,1
613754,1172,0
614005,269,1
614939,461,0
615397,683,0
616110,191,0
616330,554,0
616387,2135,1
616897,1178,0
617380,884,1
617567,80,1
618143,860,0
619068,257,0
619322,767,0
619449,1889,1
620099,1151,0
620847,1244,1
621366,1280,0
621972,1007,1
622687,1232,0
623056,878,1
624060,995,1
624177,212,0
624386,944,0
624793,524,1
625290,503,1
625572,1412,0
625579,302,1
626073,443,1
626571,518,1
627161,164,0
627334,635,1
627677,2540,0
628447,1040,1
629136,575,1
629736,590,1
630151,395,1
630295,956,0
631262,203,0
631596,2150,0
632145,2036,1
633069,860,1
633914,146,0
634139,512,0
634203,1091,1
634669,1562,0
636482,890,0
636730,2516,1
637382,1436,0
637455,695,1
638119,584,1
638933,806,0
639274,755,1
639732,821,0
640066,791,1
640603,380,0
640859,803,1
640993,851,0
641374,476,1
641846,1466,0
642401,860,1
643309,1295,0
643568,1154,1
644816,500,0
645052,1133,1
645435,1655,0
645483,434,1
646385,884,1
647139,1361,0
647148,779,1
647632,473,1
648715,914,0
648935,1280,1
649251,302,1
649768,1022,0
649993,809,1
650512,464,1
650847,335,1
650930,2291,0
652567,1571,1
653475,494,0
654018,737,0
654276,1334,1
654758,539,0
655062,770,1
655404,473,0
655868,770,0
655982,890,1
657224,1145,1
657257,725,0
657940,677,0
658655,788,0
659434,1187,1
659545,275,0
659995,539,1
660449,1031,0
660595,344,1
661583,413,0
661722,938,1
661965,446,0
662426,677,0
662810,989,1
663194,1589,0
664163,1331,1
665176,605,0
665397,1208,1
665908,161,0
666191,1073,0
667261,782,0
667725,2294,1
668128,389,1
668156,863,0
668991,1550,0
669564,1364,1
670799,779,0
671170,1331,1
671705,1322,0
672508,1310,1
672884,164,1
673079,1223,0
673608,701,1
674382,719,0
674609,896,1
674688,92,1
675016,356,1
675557,1016,0
675623,365,1
676601,644,0
676902,986,1
677351,968,0
677364,392,1
677849,299,1
678243,404,1
678368,1382,0
678551,305,1
678957,368,1
679487,383,1
679771,1232,0
680153,662,1
681274,776,1
681310,1667,0
682286,623,1
682816,500,1
682951,128,0
683188,1937,0
685215,326,0
685583,512,0
685592,2684,1
686147,647,0
686677,1088,1
686791,869,0
687871,473,0
688063,1298,1
688357,689,0
689046,1424,0
689958,1412,1
690528,1352,0
691460,1487,1
691940,716,0
692094,551,1
692752,140,0
693292,686,0
693343,1244,1
693802,254,1
694192,65,0
694338,2462,0
694924,965,1
696193,986,1
696802,932,0
696955,683,1
697535,503,1
697735,1286,0
698756,1136,1
699030,170,1
699235,296,0
699443,416,1
699562,236,0
699790,980,0
700962,776,0
701506,2018,1
701808,1430,0
703517,953,0
704183,2351,1
704585,587,0
705207,566,0
705270,1070,1
705922,713,0
706661,404,0
706837,1433,1
707112,236,0
707349,449,1
707441,1916,0
709446,1130,0
710438,3092,1
710680,209,0
711418,1166,0
711605,983,1
711717,182,1
712156,332,1
712644,905,0
713577,1379,1
713588,959,0
713719,206,1
714560,1325,0
715515,1520,1
716146,1421,0
716292,623,1
716545,182,1
717333,764,1
718051,263,0
718093,506,1
718417,218,0
718643,941,0
719627,2816,0
720013,1841,1
720194,122,1
721953,1745,1
722279,215,1
722443,494,0
722508,230,1
723025,449,0
723476,950,0
723530,1013,1
724492,914,0
725036,1463,1
725573,821,0
725690,605,1
726485,212,0
726598,911,1
726708,146,1
726850,1148,0
727737,932,1
728016,3221,0
728367,617,1
728840,368,1
729751,821,1
731152,1238,1
731245,218,0
731498,395,0
731836,620,1
731979,590,0
732061,206,1
732575,785,0
733379,1301,1
733469,1553,0
735096,1217,0
736242,2840,1
736442,1142,0
737615,1514,0
737723,1433,1
738182,392,1
739603,770,0
740178,1661,1
740388,941,0
740834,629,1
741303,200,1
741380,1286,0
742410,1064,1
742663,287,0
743009,1331,0
743161,749,1
744448,530,0
744971,1862,0
745681,2504,1
746292,551,1
746890,131,0
746925,350,1
747026,479,0
747583,842,0
747892,653,1
748323,194,1
748432,377,0
748812,821,0
749154,773,1
749630,989,0
750085,788,1
750619,1286,0
751283,1160,1
751958,2354,0
751960,671,1
752108,260,1
753589,1481,1
754423,629,1
754567,815,0
754846,422,1
755499,659,0
755698,827,1
756170,2906,0
756279,581,1
758200,1892,1
758562,314,1
759174,581,1
759241,2351,0
759825,332,1
761220,1349,1
761667,695,0
761876,659,1
762420,392,1
762531,1502,0
762955,482,1
763173,218,1
764044,1700,0
765759,2258,1
